Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Onur ps5,Heaven Is for Real_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:28:36,TR,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":737,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1721,""mediaOffsetMs"":748}]"
Onur ps5,The Water Horse: Legend of the Deep_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:28:34,TR,"[{""eventType"":""start"",""sessionOffsetMs"":62,""mediaOffsetMs"":18},{""eventType"":""playing"",""sessionOffsetMs"":999,""mediaOffsetMs"":18},{""eventType"":""paused"",""sessionOffsetMs"":1037,""mediaOffsetMs"":18},{""eventType"":""stopped"",""sessionOffsetMs"":1208,""mediaOffsetMs"":32}]"
Onur ps5,Shrek 2_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:28:31,TR,"[{""eventType"":""start"",""sessionOffsetMs"":30,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":821,""mediaOffsetMs"":0}]"
Onur ps5,Shrek - CLM 3,Chrome PC (Cadmium),2023-11-24 20:28:30,TR,"[{""eventType"":""start"",""sessionOffsetMs"":18,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":778,""mediaOffsetMs"":0}]"
Onur ps5,There Will Be Blood_hook_01_16x9,Chrome PC (Cadmium),2023-11-24 20:28:17,TR,"[{""eventType"":""start"",""sessionOffsetMs"":42,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":420,""mediaOffsetMs"":null}]"
Onur ps5,Shrek 2_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:28:17,TR,"[{""eventType"":""start"",""sessionOffsetMs"":11,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":376,""mediaOffsetMs"":null}]"
Onur ps5,Shrek - CLM 3,Chrome PC (Cadmium),2023-11-24 20:28:14,TR,"[{""eventType"":""start"",""sessionOffsetMs"":16,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1308,""mediaOffsetMs"":0}]"
Onur ps5,Shrek - CLM 3,Chrome PC (Cadmium),2023-11-24 20:28:14,TR,"[{""eventType"":""start"",""sessionOffsetMs"":-1,""mediaOffsetMs"":0}]"
Onur ps5,Genre Specific Moment Clip: 10 Days of a Good Man,Chrome PC (Cadmium),2023-11-24 20:26:20,TR,"[{""eventType"":""start"",""sessionOffsetMs"":19,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":627,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2598,""mediaOffsetMs"":1793}]"
Onur ps5,Müstakbel Damat_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:26:18,TR,"[{""eventType"":""start"",""sessionOffsetMs"":5,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":583,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1168,""mediaOffsetMs"":509}]"
Onur ps5,Bride Wars_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:26:14,TR,"[{""eventType"":""start"",""sessionOffsetMs"":12,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":746,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1799,""mediaOffsetMs"":728}]"
